AGNO;RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2008;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;510;173;155;189;185;0;0;0;0;702;84;88;28;16;0;0;0;0;216;24;23;30;18;0;0;0;0;95;9;10;3;4;0;0;0;0;26;33;24;14;9;0;0;0;0;80;12;12;0;0;0;0;0;0;24;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2008;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;561;0;0;22;21;0;0;0;0;43;0;0;1;3;0;0;0;0;4;0;0;5;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;33;22;0;0;0;0;55;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;563;13;0;0;0;0;0;0;0;13;17;0;0;0;0;0;0;0;17;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;22;18;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;610;0;0;9;8;0;0;0;0;17;0;0;73;76;0;0;0;0;149;0;0;3;0;0;0;0;0;3;0;0;5;5;0;0;0;0;10;0;0;0;1;0;0;0;0;1;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;1;9;LICEO POLITECNICO ARICA;A;2;15;15101;ARICA;2;0;661;0;0;4;2;0;0;0;0;6;0;0;56;56;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;0;0;8;3;0;0;0;0;11;0;0;17;6;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;3;5;ESCUELA PEDRO VICENTE GUTIERREZ TORRES;E;93;15;15101;ARICA;2;0;163;0;75;135;153;0;0;0;0;363;0;29;21;45;0;0;0;0;95;0;0;2;4;0;0;0;0;6;0;1;2;0;0;0;0;0;3;0;1;8;28;0;0;0;0;37;0;4;5;12;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2008;4;3;LICEO OCTAVIO PALMA PEREZ;A;1;15;15101;ARICA;2;0;310;171;140;173;167;0;0;0;0;651;197;199;198;188;0;0;0;0;782;2;1;3;1;0;0;0;0;7;1;0;4;0;0;0;0;0;5;3;2;3;2;0;0;0;0;10;3;2;1;0;0;0;0;0;6;4;1;3;0;0;0;0;0;8;7;2;6;1;0;0;0;0;16
2008;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;15;15101;ARICA;2;0;110;3;12;10;13;20;15;21;29;123;5;10;5;6;5;12;9;19;71;1;0;0;0;0;0;0;3;4;1;1;0;0;0;0;1;0;3;1;0;0;0;0;2;1;1;5;0;0;0;0;0;2;0;0;2;5;1;0;1;2;0;2;0;11;1;3;1;0;2;0;2;2;11
2008;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;15;15101;ARICA;2;0;310;21;42;39;16;0;0;0;0;118;31;30;51;24;0;0;0;0;136;12;10;12;12;0;0;0;0;46;5;5;3;3;0;0;0;0;16;10;9;11;5;0;0;0;0;35;8;9;9;4;0;0;0;0;30;1;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;2
2008;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;15;15101;ARICA;2;0;361;0;0;16;0;0;0;0;0;16;0;0;17;0;0;0;0;0;17;0;0;19;0;0;0;0;0;19;0;0;8;0;0;0;0;0;8;0;0;27;0;0;0;0;0;27;0;0;11;0;0;0;0;0;11;0;0;2;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1
